username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
C0d3-16,add,33,5,4928,243,3528,1400,220,23
Dominik-Pawelec,add,196,192,25982,62591,18698,7284,37528,25063
SY-LG,add,944,808,40509,31053,31641,8868,22740,8313
chairat25,add,43,301,101168,1067722,88789,12379,1046378,21344
Dozer1170,add,54,108,40521,21008,22788,17733,11392,9616
QnpfvTPz,add,20,18,1668,1390,1525,143,1122,268
nfaltir,add,16,16,2814,45354,2498,316,32417,12937
joephone,add,55,20,41534,53813,38888,2646,53603,210
matheus-mr,add,12,10,60131,522,49317,10814,510,12
Rahmaone,add,106,57,3388920,59338,2902151,486769,37706,21632
chrigui,add,350,17,104282,17988,73780,30502,16988,1000
Rofiansyah,add,10,338,7235,45391,6958,277,32748,12643
AnotherGuy7,add,78,157,69901,53356,39970,29931,33832,19524
JmJDrWrk,add,20,59,9188,44572,7502,1686,37226,7346
carlosleondev,add,145,22,25944,12033,20634,5310,11472,561
NukeyFox,add,47,11,43425,354,39697,3728,341,13
yorsyd,add,32,13,76134,18647,76062,72,18637,10
learnemt,add,74,7,32118,8749,27930,4188,4358,4391
mariocuee38,add,210,8,19257,177,16522,2735,174,3
jcchrrr,add,377,5,8806,4143525,5053,3753,2075457,2068068
tecnocat,add,139,8,252839,143,249910,2929,90,53
fransanityvillareal,add,11,111,1301,4795893,1266,35,2598094,2197799
Inky-developer,add,1480,251,28968,20744,24102,4866,15929,4815
LAPCoder,add,393,400,1955,216215,1677,278,214971,1244
KIMjongYoun1,add,29,119,95775,931451,93519,2256,651951,279500
markduan,add,13,6,1419,1650,1121,298,1360,290
piaoi,add,232,13,145607,663,127296,18311,649,14
sudodoom,add,44,7,3719,1707,3484,235,1707,0
Jaredslocker21,add,108,7,931477,2028,928452,3025,1839,189
NickZach2036,add,44,12,4900289,432930,4881747,18542,432899,31
patrickSbrighi,add,46,27,14551,61342,9761,4790,52365,8977
LynixDancho,add,92,29,119853,4297303,106059,13794,2155335,2141968
ZephinueCode,add,201,88,2826,71427,2583,243,63177,8250
hwhea,add,121,37,1355,554,887,468,318,236
ZeRedBarron,add,26,11,424,448,353,71,426,22
