username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
taxerap,add,0,1,0,3,0,0,0,3
harenson,add,0,0,0,0,0,0,0,0
thisiszy,add,36,31,4368,8241,2256,2112,6335,1906
whaddafish,add,0,0,0,0,0,0,0,0
jeska,add,9,10,266,5394,173,93,5325,69
rootsyw,add,2,5,18,12,18,0,7,5
shakuvish,add,0,0,0,0,0,0,0,0
nigelberewere,add,186,432,4800,500307,2540,2260,480188,20119
chyychyy,add,3,0,30987,0,30987,0,0,0
mrzahaki,add,17388,9,26799,2891,18037,8762,1292,1599
TheIcy,add,7,1,62,12,54,8,6,6
Schlizzz,add,0,0,0,0,0,0,0,0
BrianSchultz1,add,18,36,2143029,2019,2142864,165,1490,529
cleverington,add,1,13,2,2470,1,1,1754,716
chrisy,add,0,0,0,0,0,0,0,0
RealDealJinx,add,0,0,0,0,0,0,0,0
barathraju-43,add,73,28,152876,40689,129735,23141,38906,1783
ihategravel2,add,9,5,2,25325,1,1,25325,0
wassafr,add,260,15,32892,4237,19905,12987,1847,2390
luisenriquecorona,add,0,0,0,0,0,0,0,0
ranafaraj,add,4,0,19207,0,19010,197,0,0
sebastiansito,add,0,0,0,0,0,0,0,0
vesnikos,add,25,9,14184,936,13527,657,624,312
Rafaelsk,add,0,7,0,2128,0,0,2106,22
gustavomcarmo,add,0,1,0,73,0,0,57,16
JuniorSilvaL,add,1,9,3590,166,3590,0,163,3
zour-readbyi,add,0,0,0,0,0,0,0,0
TheProjectsGuy,add,203,4,41988,164,31821,10167,148,16
soamara,add,8,9,4183,2515,4077,106,1675,840
BlendingJake,add,2,12,522,18145,521,1,9786,8359
a-jaxell,add,126,6,48927,234,29154,19773,128,106
sidjayisaok,add,0,0,0,0,0,0,0,0
YJJcoolcool,add,11,4,103,567,56,47,567,0
Just9krish,add,53,103,2298,121212,1968,330,95700,25512
infectedscars,add,0,0,0,0,0,0,0,0
codeingschool,add,0,0,0,0,0,0,0,0
savin2001,add,17,47,258,72314,233,25,70542,1772
mensly,add,0,55,0,33819,0,0,30630,3189
OniOkami666,add,22,188,973,6576,929,44,4459,2117
flxwerasmxs,add,0,0,0,0,0,0,0,0
dharmeshrao,add,0,0,0,0,0,0,0,0
Ashamandi,add,0,0,0,0,0,0,0,0
Snipedprox,add,0,0,0,0,0,0,0,0
mhubing,add,7308,2,7396,847,4873,2523,836,11
Reason184,add,0,0,0,0,0,0,0,0
rifkinur055,add,4,0,45787,0,45786,1,0,0
AlstoreAlphaJailed,add,0,0,0,0,0,0,0,0
najamulsaqib,add,2073,1053,32802,51760,19118,13684,23670,28090
l0fl0,add,0,0,0,0,0,0,0,0
shizotoaster,add,139,172,97186,48713,63756,33430,35360,13353
devpanther,add,875,0,63771,0,26447,37324,0,0
HarshSingh16,add,0,0,0,0,0,0,0,0
Ucnt,add,0,0,0,0,0,0,0,0
MeteoroIogist,add,0,0,0,0,0,0,0,0
Zomby7e,add,516,37,2786,3139,2331,455,2300,839
eternalsession,add,0,4,0,28,0,0,23,5
harsh52,add,221,249,73814,25734,59395,14419,20140,5594
anaxagors,add,4,0,17,0,17,0,0,0
Fooftilly,add,1006,77,1019646,10097,537596,482050,9047,1050
Ribel78,add,273,0,23250,0,15719,7531,0,0
nickberckley,add,230,170,28023,22883,19645,8378,14006,8877
Creepyrishi,add,0,0,0,0,0,0,0,0
hyunjongL,add,0,0,0,0,0,0,0,0
