username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
onyphe,asd,non-disabled,9,12,1352,2712,1105,247,2145,567,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexthePear,asd,non-disabled,423,241,56627,37610,49756,6871,25346,12264,1,5,1,5,1,1,0,1,0.0,0.0041493775933609,2025-10-25 17:22:14+00:00,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
areyouroot,asd,non-disabled,29,25,1100,3889,1030,70,954,2935,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vwv-source,disabled,non-disabled,8,7,3511,3108,3399,112,2538,570,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rawhide81,disabled,non-disabled,29,13,3819,833336,3611,208,833239,97,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SeveredVercetti,disabled,non-disabled,486,1166,12379,81429,7003,5376,42953,38476,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relitrix-archive,disabled,non-disabled,721,5,174875,450,30917,143958,241,209,5,0,5,0,1,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sazhas,disabled,non-disabled,4516,3117,19970,1295020,10210,9760,1171034,123986,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxnelson,disabled,non-disabled,176,77,202691,100861,119580,83111,59908,40953,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
markinsutton,disabled,non-disabled,21,13,6959,93,4394,2565,81,12,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GeorgeKerscher,disabled,non-disabled,55,11,21061,1568,18057,3004,1445,123,17,21,17,22,1,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
